t,p,D,T,S,U,D_bar,Z_bar,gradient_estimate,delta_hat,upsilon_hat,zeta,state_d_a,state_name,experiment_type,n,cumulative_regret,experimentation
1,50.0,5136,6910,4615.4966414272685,138464.89924281804,0.5136,0.691,-0.45395467673937306,0.0014008438433632795,0.0013068009874066002,0.5,0.5,Medium ($d_a = 0.5$),local,10000,707.4101633617341,Local
2,45.46045323260627,3150,5571,3001.49668116464,103670.33499126311,0.315,0.5571,-0.28939804544207476,0.005321627544959211,0.0038853097175029897,0.5,0.3,Low ($d_a = 0.3$),local,10000,1193.9494959740657,Local
3,43.5311329296591,2928,5432,2808.623978689799,102427.33452941025,0.2928,0.5432,-0.2587350391837857,0.02411010116320227,0.008995953320352936,0.5,0.3,Low ($d_a = 0.3$),local,10000,1599.0986131424143,Local
4,42.23745773374017,6838,7045,5550.731618873364,209609.7373663703,0.6838,0.7045,-0.46952574239064043,0.0074180652431299334,0.006019631530402116,0.5,0.7,High ($d_a = 0.7$),local,10000,1953.8423187513192,Local
5,40.35935476417761,2774,5311,2671.3897900728316,105895.61495487517,0.2774,0.5311,-0.26152591941270675,0.002799068662463079,0.00235749336403857,0.5,0.3,Low ($d_a = 0.3$),local,10000,2241.3665043391534,Local
6,39.487601699468584,5090,6147,4416.228640810262,178912.01368271981,0.509,0.6147,-0.318040665465053,0.022612055717469843,0.01173448657356031,0.5,0.5,Medium ($d_a = 0.5$),local,10000,2500.086815157437,Local
7,38.578914083854144,2666,5259,2576.1792818998133,106708.1433709671,0.2666,0.5259,-0.2619619391351311,-0.0017315909259642895,-0.0019524014122292593,0.5,0.3,Low ($d_a = 0.3$),local,10000,2730.400749168668,Local
8,37.92400923601632,5096,6149,4420.069184128483,185978.790167559,0.5096,0.6149,-0.33253619080883495,0.016443568917580316,0.009986421288635748,0.5,0.5,Medium ($d_a = 0.5$),local,10000,2941.26578394849,Local
9,37.185039923107794,3014,5139,2855.5412122026937,122259.88299837873,0.3014,0.5139,-0.2646646009981945,0.00792247337908461,0.005355653855775065,0.5,0.3,Low ($d_a = 0.3$),local,10000,3131.2154629243623,Local
10,36.655710721111404,5119,6086,4415.924365146162,191405.10311658774,0.5119,0.6086,-0.460161100005434,-0.001494250910225384,-0.0015836389467084524,0.5,0.5,Medium ($d_a = 0.5$),local,10000,3306.8546647864946,Local
11,35.819054175646976,4027,6038,3721.286243052741,164409.94590122337,0.4027,0.6038,-0.3495132475772255,0.0044076044076044,0.0036661726929400635,0.5,0.5,Medium ($d_a = 0.5$),local,10000,3461.017619643805,Local
12,35.2365320963516,6111,5975,4833.175924412117,216349.71536510796,0.6111,0.5975,-0.3399958899333583,0.009795009795009815,0.007657886628723308,0.5,0.5,Medium ($d_a = 0.5$),local,10000,3601.05444144659,Local
13,34.71346149645413,5581,6478,4770.631117308072,216045.36978018607,0.5581,0.6478,-0.3605832545820108,0.012668063383601784,0.008957953528057224,0.5,0.7,High ($d_a = 0.7$),local,10000,3728.9851288030122,Local
14,34.19834256133697,6852,6464,5317.366335733376,243544.19138513898,0.6852,0.6464,-0.37822045489706246,0.009151373177977382,0.007495212421588387,0.5,0.7,High ($d_a = 0.7$),local,10000,3845.5285089957633,Local
15,33.694048621474224,6811,6358,5255.154420519396,243344.92508321593,0.6811,0.6358,-0.580115036081132,-0.0024370408773347002,-0.0025869002043564866,0.5,0.7,High ($d_a = 0.7$),local,10000,3951.437964953951,Local
16,32.96890482637281,4246,5757,3824.2010641825577,179856.36421265628,0.4246,0.5757,-0.29567224948342347,0.016187717715887055,0.009736123114711203,0.5,0.5,Medium ($d_a = 0.5$),local,10000,4042.9480083866447,Local
17,32.62105512109819,2028,4812,1990.4859566295786,94307.12442138096,0.2028,0.4812,-0.20498691845484956,-0.0036872331850986676,-0.004815078300921459,0.5,0.3,Low ($d_a = 0.3$),local,10000,4127.923929315431,Local
18,32.393291878370576,8284,6181,5548.368404878407,264139.555202317,0.8284,0.6181,-0.20892712368833477,0.013872944527625192,0.01144032897132561,0.5,0.7,High ($d_a = 0.7$),local,10000,4208.752574555782,Local
19,32.17336859027759,7166,6198,5289.91560970838,252998.84405405974,0.7166,0.6198,-0.12497025354450253,0.02440675053507949,0.016298027606511212,0.5,0.7,High ($d_a = 0.7$),local,10000,4285.675156291305,Local
20,32.04839833673309,4420,5585,3895.4857026793275,186794.77869983055,0.442,0.5585,-0.3534279977474856,0.0037320597129554107,0.0032642764997005184,0.5,0.5,Medium ($d_a = 0.5$),local,10000,4360.421239386018,Local
21,31.711800243640244,4462,5705,3947.7017232836633,190627.40939244715,0.4462,0.5705,-0.28622020050905034,0.01618554205184715,0.010058644307585345,0.5,0.5,Medium ($d_a = 0.5$),local,10000,4429.460448122849,Local
22,31.45160006135929,4766,5596,4092.0854809631105,198664.20251290197,0.4766,0.5596,-0.3466709402026523,0.005497105274990475,0.004615393649960833,0.5,0.5,Medium ($d_a = 0.5$),local,10000,4494.24336289145,Local
23,31.150147069878724,3595,4709,3204.9584720618677,156561.75000736842,0.3595,0.4709,-0.23728778296068215,0.013007713322494025,0.00814914913899543,0.5,0.3,Low ($d_a = 0.3$),local,10000,4554.264491878162,Local
24,30.952407250744823,5278,5587,4338.977594621883,212816.40600915698,0.5278,0.5587,-0.915318004306098,-0.015093929660114982,-0.027629954328441727,0.5,0.5,Medium ($d_a = 0.5$),local,10000,4611.260810459968,Local
25,30.220152847299946,3336,4630,3024.1638275454907,150542.41309993892,0.3336,0.463,-0.4881112198990327,-0.01052420968387354,-0.02108437703124493,0.5,0.3,Low ($d_a = 0.3$),local,10000,4657.736883596672,Local
26,29.844682678146846,7041,5966,5132.394080288919,257416.85371769144,0.7041,0.5966,-0.08140746757983841,0.023129565333948023,0.016091283562852166,0.5,0.7,High ($d_a = 0.7$),local,10000,4699.234521813895,Local
27,29.78438085030993,7293,6030,5234.600956839834,262858.7280492723,0.7293,0.603,0.059120543848917184,0.033326224944077915,0.020908282339751283,0.5,0.7,High ($d_a = 0.7$),local,10000,4739.958883746464,Local
28,29.82660981020201,5369,5545,4363.330274656666,218923.07239730735,0.5369,0.5545,-0.3263541272832405,0.007011604458386045,0.005854249723427798,0.5,0.5,Medium ($d_a = 0.5$),local,10000,4781.224002603333,Local
29,29.601537998282534,6031,5953,4793.193882563537,241569.5997572431,0.6031,0.5953,-0.19303808986208393,0.020885601204251723,0.013839458631905976,0.5,0.7,High ($d_a = 0.7$),local,10000,4819.648149238573,Local
30,29.47284593837448,2218,4596,2154.07965622897,108839.5146512945,0.2218,0.4596,-0.19335415386476987,0.02273565618861293,0.00980215216218902,0.5,0.3,Low ($d_a = 0.3$),local,10000,4856.493405076037,Local
31,29.348101322977854,4361,5356,3806.46496084788,192804.67751450188,0.4361,0.5356,-0.336366434089893,0.0040149071407722834,0.0035127314376369873,0.5,0.5,Medium ($d_a = 0.5$),local,10000,4891.839815188856,Local
32,29.13787230167167,4566,5371,3923.102885570169,199537.35993955028,0.4566,0.5371,-0.22706962648118464,0.0192667587887756,0.011693437804170176,0.5,0.5,Medium ($d_a = 0.5$),local,10000,4924.73067877715,Local
33,29.000254346228527,5245,5418,4262.955380216086,217409.640124397,0.5245,0.5418,-0.29632872637056784,0.00841741690173826,0.006808928978807317,0.5,0.5,Medium ($d_a = 0.5$),local,10000,4956.061987794583,Local
34,28.825943330716427,5366,5397,4305.128570930853,220310.89345736723,0.5366,0.5397,-0.035359187983796336,0.041204030100752555,0.019529058497790304,0.5,0.5,Medium ($d_a = 0.5$),local,10000,4985.472291036035,Local
35,28.805738080439973,6909,5891,5055.796652655176,258827.77804806395,0.6909,0.5891,-0.4441484707517743,0.0023643600945743907,0.0022642350701808887,0.5,0.7,High ($d_a = 0.7$),local,10000,5014.663851264979,Local
36,28.55898893002232,4619,5286,3926.2937338562947,201972.51942728568,0.4619,0.5286,-0.2226301641052822,0.017388560695542437,0.011120822329598682,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5041.249964080476,Local
37,28.438648300776222,4710,5384,4001.8192424543063,206339.2093969077,0.471,0.5384,-0.2715932439448256,0.011384337559337388,0.0083692703780514,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5066.609564724196,Local
38,28.295704488173683,2271,4491,2195.0852522080054,113495.33655381452,0.2271,0.4491,-0.206722780811997,0.0062876202691366165,0.0046470860829594535,0.5,0.3,Low ($d_a = 0.3$),local,10000,5090.5499163434115,Local
39,28.18969280570599,4675,5345,3972.382177234315,205810.34089564832,0.4675,0.5345,-0.24997726138107615,0.013663659242835875,0.009542837609465935,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5113.464099890929,Local
40,28.064704175015454,6230,5260,4531.134233965175,235325.79686369604,0.623,0.526,-0.15493079804843274,0.01357510373337752,0.010672475401126563,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5135.197295398597,Local
41,27.989128175967437,4591,5316,3920.6703624463503,203917.48368548043,0.4591,0.5316,-0.22702710656294262,0.01695177764223916,0.010986309202648118,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5156.231549020159,Local
42,27.881020029985084,7016,5741,5002.255663163963,260712.46271333622,0.7016,0.5741,0.08393336523877204,0.03023047257787765,0.019899933577836728,0.5,0.7,High ($d_a = 0.7$),local,10000,5176.285854736098,Local
43,27.920058804514746,2584,4530,2458.9259650877652,128060.71966582263,0.2584,0.453,-0.21008335684819976,0.0147152499528373,0.008319073551576973,0.5,0.3,Low ($d_a = 0.3$),local,10000,5196.691331623826,Local
44,27.824566369583746,6038,5753,4710.893519763318,245792.91218036905,0.6038,0.5753,-0.12509676427281485,0.022841018473007346,0.015102901455730264,0.5,0.7,High ($d_a = 0.7$),local,10000,5216.24320240733,Local
45,27.768967807684717,7413,5729,5088.022336802515,265752.6584687514,0.7413,0.5729,-0.5031177578572535,0.00017940879103079505,0.00017891855113320092,0.5,0.7,High ($d_a = 0.7$),local,10000,5235.30647853742,Local
46,27.550220956442434,5241,5349,4235.118995130308,222131.05551775818,0.5241,0.5349,-0.4080067974175423,0.0007863754866543071,0.0007702988034168515,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5252.507441206919,Local
47,27.376601042647735,4392,5225,3789.6760913783705,199425.63687574334,0.4392,0.5225,-0.20527643376785448,0.020432373872819227,0.012220947928099362,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5268.2984037866845,Local
48,27.29106919524446,5337,5202,4214.216884740633,222126.8661740264,0.5337,0.5202,-0.10626151711782977,0.022161954591273524,0.014215437453569717,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5283.416911818914,Local
49,27.247697147441265,4613,5209,3900.01585584587,205734.81755736234,0.4613,0.5209,-0.18641297142011687,0.02056657316260684,0.012579173938202797,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5298.200018033178,Local
50,27.173131958873217,4920,5241,4056.2986481439884,214281.55342090342,0.492,0.5241,-0.09407647926036294,0.032219285155085604,0.016831632784005436,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5312.415295732774,Local
51,27.13623922190837,7539,5671,5078.384016659906,268462.4777959933,0.7539,0.5671,-0.01478897665647716,0.018797713160655507,0.014828227342746723,0.5,0.7,High ($d_a = 0.7$),local,10000,5326.353740002805,Local
52,27.13055115396357,2241,4414,2165.1405025460836,114469.78504384178,0.2241,0.4414,-0.19413201273493141,0.013715945540705704,0.0078367737887716,0.5,0.3,Low ($d_a = 0.3$),local,10000,5340.249744704184,Local
53,27.05729379066737,7210,5705,5028.298248728656,266211.716915343,0.721,0.5705,-0.01755562656198273,0.020546266569903732,0.015538560479027415,0.5,0.7,High ($d_a = 0.7$),local,10000,5353.604948041855,Local
54,27.050791706755525,5805,5222,4386.237325931168,232247.79379433303,0.5805,0.5222,-0.3868879000526434,0.0021020447544525317,0.0020098591682986347,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5366.91267022228,Local
55,26.910105197645475,7385,5605,5005.828154134083,265758.89010164305,0.7385,0.5605,-0.2032791831203588,0.01035804143216574,0.009000375867860191,0.5,0.7,High ($d_a = 0.7$),local,10000,5379.213743338049,Local
56,26.837505489388203,4545,5130,3841.846188924426,204242.12692930966,0.4545,0.513,-0.16510607724929718,0.022901530698103238,0.013418105635973015,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5391.010830917493,Local
57,26.779573532458624,3151,4356,2853.3887905303045,151858.56830972488,0.3151,0.4356,-0.20930173035153438,0.012405394744216168,0.007981615706842292,0.5,0.3,Low ($d_a = 0.3$),local,10000,5402.413318114119,Local
58,26.70740052199258,3101,4360,2820.8762555023995,150331.82846151068,0.3101,0.436,-0.1834027082531185,0.021374400854976067,0.010878518895983793,0.5,0.3,Low ($d_a = 0.3$),local,10000,5413.333592831268,Local
59,26.645230112415252,8536,5592,5188.033993156048,276806.3598738084,0.8536,0.5592,-0.789785434156993,-0.006520034699796836,-0.006991318095346481,0.5,0.7,High ($d_a = 0.7$),local,10000,5423.846838039812,Local
60,26.381968301029588,2937,4297,2698.553424423079,144691.1230520818,0.2937,0.4297,-0.1995055920989064,0.014650070016716966,0.008702079616599584,0.5,0.3,Low ($d_a = 0.3$),local,10000,5432.722182734977,Local
61,26.31655663148896,2226,4262,2143.671168728408,115079.64978714134,0.2226,0.4262,-0.19874874027764974,0.006577129471066437,0.004844572943359633,0.5,0.3,Low ($d_a = 0.3$),local,10000,5441.212063547065,Local
62,26.252444134625204,3051,4313,2779.3269689073168,149382.03152948883,0.3051,0.4313,-0.20584067238286496,0.012529832171833311,0.008009049844069756,0.5,0.3,Low ($d_a = 0.3$),local,10000,5449.332440477645,Local
63,26.187097889424294,2806,4239,2597.3591182722453,139771.43197759555,0.2806,0.4239,-0.19495887366822262,0.015331815994198304,0.008829607635101554,0.5,0.3,Low ($d_a = 0.3$),local,10000,5457.084662624336,Local
64,26.126173241402974,4936,5118,4018.965521144749,216517.05223492687,0.4936,0.5118,-0.09241089415751852,0.026504353124276514,0.015470658826156964,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5464.501333871986,Local
65,26.097739120123737,5000,5137,4053.3191514508735,218483.06633090368,0.5,0.5137,-0.33565506181987614,0.0037537040500280933,0.0034148957345415966,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5471.7639411143855,Local
66,25.996025465026804,2358,4332,2258.94232056139,121991.86355557056,0.2358,0.4332,-0.19200854011419716,0.01683054453728964,0.008978090843751155,0.5,0.3,Low ($d_a = 0.3$),local,10000,5478.488673190519,Local
67,25.938709482903164,3931,5179,3510.6994517254298,189792.94297794104,0.3931,0.5179,-0.23195746187657312,0.01710914539239325,0.010713725119365934,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5484.919425765685,Local
68,25.87048669999829,6044,5083,4385.08535586129,237362.5360917364,0.6044,0.5083,-0.473561728718236,-0.0011701237912011184,-0.0011966876477531338,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5491.008821353442,Local
69,25.733222430804595,2358,4236,2251.9548533943516,122206.33312502132,0.2358,0.4236,-0.20185121313200163,0.008061121289779411,0.0056772200967654856,0.5,0.3,Low ($d_a = 0.3$),local,10000,5496.439612562512,Local
70,25.675550655624022,2806,4188,2590.2712548975564,140715.05957487551,0.2806,0.4188,-0.17309739819217476,0.023645119364027585,0.011166000400149199,0.5,0.3,Low ($d_a = 0.3$),local,10000,5501.604932526074,Local
71,25.626790825147353,2763,4240,2566.3264821027064,139539.4066223342,0.2763,0.424,-0.17276920474748614,0.027347554424305354,0.011896243096779235,0.5,0.3,Low ($d_a = 0.3$),local,10000,5506.550993758823,Local
72,25.57879937938416,7065,5448,4841.824438604315,263497.8991430861,0.7065,0.5448,-0.15789034760170179,0.011492496549195035,0.009829087209820906,0.5,0.7,High ($d_a = 0.7$),local,10000,5511.285894696249,Local
73,25.535541749904244,2530,4163,2382.381261065132,129755.10472909237,0.253,0.4163,-0.179407942583348,0.022230404713114764,0.010494244865940996,0.5,0.3,Low ($d_a = 0.3$),local,10000,5515.834411144892,Local
74,25.48705311677361,4277,5043,3678.105083516534,200504.34704866176,0.4277,0.5043,-0.1429404633984085,0.028126498116014042,0.014935488352413566,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5520.178452889001,Local
75,25.448935659867367,6861,5485,4817.797935024002,262816.00513125246,0.6861,0.5485,-0.23177677209827696,0.008986643495354553,0.007877555052350828,0.5,0.7,High ($d_a = 0.7$),local,10000,5524.36505598449,Local
76,25.387941772473084,4307,5011,3684.9852048330977,201244.6265739203,0.4307,0.5011,-0.28560586250266295,0.006366030701097136,0.0053168838843009394,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5528.305777826541,Local
77,25.3137584315633,6493,5405,4680.524726344094,255960.3058518942,0.6493,0.5405,0.011017883026721353,0.021930937756746174,0.01594461602361838,0.5,0.7,High ($d_a = 0.7$),local,10000,5531.9574764058725,Local
78,25.31658352977528,6904,5409,4782.903203393222,261545.48780792355,0.6904,0.5409,0.2763539211079765,0.035538603915304126,0.023090440723341515,0.5,0.7,High ($d_a = 0.7$),local,10000,5535.619980162933,Local
79,25.3865465477773,7411,5500,4944.78644316747,270051.86424510845,0.7411,0.55,0.1836731888395563,0.02622654719524179,0.019427803400341635,0.5,0.7,High ($d_a = 0.7$),local,10000,5539.555164560382,Local
80,25.43246484498719,3248,4283,2901.5134381073863,158328.43653666688,0.3248,0.4283,-0.1446448738189815,0.0281464410797668,0.012999137511632933,0.5,0.3,Low ($d_a = 0.3$),local,10000,5543.674636447997,Local
81,25.396750061328184,4346,4269,3445.4494869881546,188132.73948908283,0.4346,0.4269,-0.03640535643959336,0.02248305438915483,0.013619143478742426,0.5,0.3,Low ($d_a = 0.3$),local,10000,5547.650406987385,Local
82,25.387870706099015,6661,5456,4752.23644143849,259529.7509750267,0.6661,0.5456,0.09516621672146586,0.026764246716159398,0.018570409875333597,0.5,0.7,High ($d_a = 0.7$),local,10000,5551.590846683194,Local
83,25.410802324586115,3114,4227,2805.5693965293895,153153.7823792345,0.3114,0.4227,-0.2162096109744265,0.008534507642159649,0.006242782407823228,0.5,0.3,Low ($d_a = 0.3$),local,10000,5555.6228532437535,Local
84,25.35932384578268,5764,5021,4273.320320572246,233497.11173962423,0.5764,0.5021,-0.0449191173718525,0.018819718225237623,0.013655871178813814,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5559.45077373978,Local
85,25.348754641695184,3126,4151,2798.393339058246,152935.6809819181,0.3126,0.4151,-0.1809587847448627,0.014639079051650915,0.008996135170352677,0.5,0.3,Low ($d_a = 0.3$),local,10000,5563.2374484957,Local
86,25.306671203382425,5474,5405,4351.249914007582,237984.34222307062,0.5474,0.5405,-0.3267718291892212,0.005432400869184128,0.004829851581972136,0.5,0.7,High ($d_a = 0.7$),local,10000,5566.862110742621,Local
87,25.23155124264927,3735,5014,3354.324910804193,183711.17199288445,0.3735,0.5014,-0.23689688734231573,0.01375359574105331,0.009228058964262112,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5570.206381036046,Local
88,25.17771104098056,4595,4962,3811.548628848693,208957.82031209744,0.4595,0.4962,-0.2543489472308635,0.008424406265920151,0.0068033820060591525,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5573.356631215807,Local
89,25.12055397418711,5286,5010,4112.48706549272,225691.01194256142,0.5286,0.501,-0.13521087653600716,0.015363171585484198,0.011344497832494865,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5576.307252808743,Local
90,25.090507112734663,2331,4204,2227.41085794891,122306.00066156324,0.2331,0.4204,-0.20383118096981967,0.006035979068957736,0.004609570290428817,0.5,0.3,Low ($d_a = 0.3$),local,10000,5579.155551983415,Local
91,25.045709050983053,4613,5008,3835.456816918427,210774.80983932567,0.4613,0.5008,-0.09999638322949989,0.026999049719657928,0.015358262110540817,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5581.854647499254,Local
92,25.023970706802725,2601,4346,2455.8744770795324,135014.2271923399,0.2601,0.4346,-0.24078723421625717,0.0009335930621720433,0.0008938496494104882,0.5,0.3,Low ($d_a = 0.3$),local,10000,5584.482788048785,Local
93,24.972188505896003,3508,4144,3018.9146395576645,166124.2657023701,0.3508,0.4144,-0.17586402027281983,0.012119253783636773,0.008330956897151635,0.5,0.3,Low ($d_a = 0.3$),local,10000,5586.945716142154,Local
94,24.934770629242212,6454,5413,4674.520862163717,257403.56347343753,0.6454,0.5413,0.0853748723872027,0.026997102013230384,0.018476793700668282,0.5,0.7,High ($d_a = 0.7$),local,10000,5589.292599206262,Local
95,24.952744286586885,2674,4128,2486.8173999978458,136892.47333024658,0.2674,0.4128,-0.19543527867708005,0.011934816984070307,0.007605989846239599,0.5,0.3,Low ($d_a = 0.3$),local,10000,5591.694874955326,Local
96,24.91202860352916,1781,4198,1747.318274006947,96256.2190990255,0.1781,0.4198,-0.16553853713732203,0.009550954879486276,0.0062409594795413866,0.5,0.3,Low ($d_a = 0.3$),local,10000,5593.972595744559,Local
97,24.87789694638744,5061,4920,3990.806937388072,219981.67126977726,0.5061,0.492,-0.08878237959157742,0.019651460316728556,0.013315889503858263,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5596.148457692357,Local
98,24.859778093409567,4981,4978,3983.599277035937,219656.54812269483,0.4981,0.4978,-0.013909587104687704,0.03077632514555653,0.0174095957383025,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5598.271194406124,Local
99,24.85696807581266,6715,5465,4770.856990177638,263079.51931509783,0.6715,0.5465,-0.1912969011592206,0.010683888892355638,0.009131441044738361,0.5,0.7,High ($d_a = 0.7$),local,10000,5600.385750841374,Local
100,24.818708695580817,4000,4146,3256.307545354916,179687.2552370078,0.4,0.4146,-0.05366048832444492,0.022800973137433758,0.013263163810707445,0.5,0.3,Low ($d_a = 0.3$),local,10000,5602.390501190432,Local
101,24.80808285630865,5265,4992,4096.992829778102,226120.88879941055,0.5265,0.4992,-0.15884448711591703,0.01340226626844186,0.01025836664386803,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5604.365274364861,Local
102,24.776936878442786,3641,4132,3084.52544071258,170336.9431125199,0.3641,0.4132,-0.13881442939450284,0.015850687049664785,0.010131894598057092,0.5,0.3,Low ($d_a = 0.3$),local,10000,5606.253480829498,Local
103,24.749982620307932,3469,4186,3008.9234692481236,166243.07397012218,0.3469,0.4186,-0.21257997122751499,0.007982507390336355,0.006136012955570662,0.5,0.3,Low ($d_a = 0.3$),local,10000,5608.06833704225,Local
104,24.70910185661033,6307,5027,4419.972223480694,244384.23400508263,0.6307,0.5027,-0.27580982617835387,0.005622779185824793,0.005145480618789083,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5609.774718142599,Local
105,24.65656665162398,6786,5258,4665.909614733345,258227.45777254176,0.6786,0.5258,0.16050721528873096,0.025872290709689813,0.01868935839437139,0.5,0.7,High ($d_a = 0.7$),local,10000,5611.346607266125,Local
106,24.686851031867135,6341,5382,4627.019987072778,255935.04582348478,0.6341,0.5382,-0.15426210200081497,0.012769442043110677,0.010448545283833167,0.5,0.7,High ($d_a = 0.7$),local,10000,5612.995351618271,Local
107,24.658016994109975,7351,5338,4828.723807819779,267231.1509124988,0.7351,0.5338,0.2639558918030065,0.027912205279153477,0.020593946781685267,0.5,0.7,High ($d_a = 0.7$),local,10000,5614.570879579144,Local
108,24.706897714814236,2976,4172,2705.0734975348146,149571.9055881377,0.2976,0.4172,-0.17055459036405662,0.019433120777324894,0.010526865852605309,0.5,0.3,Low ($d_a = 0.3$),local,10000,5616.2715070619915,Local
109,24.67560329456395,4600,4932,3803.564815945421,210429.92877220336,0.46,0.4932,-0.04099118966070536,0.03485495767932288,0.017758059549145486,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5617.89149296239,Local
110,24.668150350989276,3628,4909,3265.6788605973916,180696.0517165275,0.3628,0.4909,-0.21258184671982097,0.017650784689136147,0.010809640046831727,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5619.492562394728,Local
111,24.629847315544264,5111,4941,4018.50088071085,222505.00732757963,0.5111,0.4941,0.015887866105327997,0.03032800580854325,0.017657519663234436,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5620.998166704654,Local
112,24.632684434491644,6994,5345,4763.5671579744585,263745.9260530636,0.6994,0.5345,0.05424145380061124,0.019924318789100604,0.015534133928700027,0.5,0.7,High ($d_a = 0.7$),local,10000,5622.510741527853,Local
113,24.642284691801486,4580,4900,3783.372405243291,209438.85251435242,0.458,0.49,-0.21336484289659666,0.011264115344541128,0.008586484957624334,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5624.047022610805,Local
114,24.604852263223137,4682,4939,3842.91340973828,212878.75607209295,0.4682,0.4939,-0.3233737204682347,0.003349338515544632,0.003072500002595454,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5625.491912280865,Local
115,24.548613355315617,5222,4977,4074.895494921484,225958.6056255737,0.5222,0.4977,-0.09525520432363155,0.0181660892733164,0.012831231027409346,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5626.804762422827,Local
